gender,age,education_level,employment_type,city_type,monthly_expense,monthly_income,owns_car,internet_usage_hours,subscribed_newsletter
Non-binary,45,,Freelance,Suburban,,4102.26,No,1.3,1
Male,51,Master,Part-time,Suburban,2433.33,2388.53,Yes,9.7,0
Non-binary,19,Master,Full-time,Rural,4163.49,3936.31,No,8,0
Non-binary,49,Bachelor,Part-time,Rural,2070.67,6281.69,Yes,9.8,1
Male,40,PhD,Part-time,Suburban,2219.7,5822.79,Yes,5.3,0
Male,39,High School,Full-time,Suburban,3640.19,3616.35,Yes,5.8,0
Non-binary,42,Bachelor,Freelance,Rural,3402.77,7281.76,No,,0
Female,39,High School,Freelance,Rural,3689.86,7022.42,Yes,3.2,0
Non-binary,39,,Unemployed,Urban,1836.78,3900.49,No,8.5,0
Non-binary,59,,Full-time,Urban,5564.06,3885.06,Yes,4.2,1
Non-binary,23,PhD,Unemployed,Rural,1784.25,4110.76,No,8.4,1
Non-binary,32,,Unemployed,Suburban,3154.25,4239,No,,0
Male,60,Master,Unemployed,Suburban,2841.34,6425.81,No,2.6,1
Non-binary,54,Bachelor,Freelance,Suburban,1813.36,5637.99,Yes,5.6,0
Female,50,Master,Full-time,Suburban,2629.79,6315.62,Yes,7.1,0
Male,25,High School,Unemployed,Urban,3023.31,6010.35,No,3.1,0
Female,61,High School,Full-time,Rural,2350.03,7571.79,No,8.5,0
Female,61,High School,Full-time,Suburban,3937.22,3410.92,No,5.9,0
Female,22,PhD,Freelance,Urban,2838.37,5570.54,Yes,2.5,1
Female,56,Bachelor,Unemployed,Suburban,1658.73,1739.27,Yes,6.2,1
Male,21,PhD,Unemployed,Rural,1573.87,3024.57,Yes,10,0
Male,23,High School,Full-time,Urban,3606.17,4887.72,Yes,2.4,1
Female,62,Bachelor,Part-time,Rural,,5627.31,No,8.4,0
Female,49,,Freelance,Rural,3316.43,4847.28,No,2.9,1
Male,47,PhD,Freelance,Urban,3444.66,4149.21,Yes,8,0
Male,64,PhD,Freelance,Urban,2004.64,4415.87,Yes,7.6,1
Male,52,PhD,Freelance,Urban,3890.74,7054.16,No,3.7,0
Non-binary,57,High School,Unemployed,Urban,1282.21,4423.95,Yes,3.9,0
Non-binary,33,Bachelor,Unemployed,Urban,3296.46,7623.86,Yes,8.1,1
Non-binary,30,Bachelor,Part-time,Urban,,6191.03,Yes,5.2,1
Female,59,,Freelance,Urban,2881,5686.31,Yes,7.6,0
Non-binary,47,Bachelor,Freelance,Suburban,1822.1,3209.6,Yes,2.3,1
Female,36,High School,Full-time,Rural,,6402.86,Yes,,0
Female,34,,Unemployed,Urban,4618.8,4259.34,No,,1
Non-binary,36,Master,Freelance,Suburban,,3208.34,Yes,9.2,1
Female,45,Master,Part-time,Suburban,3742.08,5769.27,Yes,2.2,0
Non-binary,43,PhD,Part-time,Suburban,3939.85,2918.08,No,6.3,1
Non-binary,54,Master,Unemployed,Rural,3846.01,3856.64,No,6.4,1
Male,43,Master,Part-time,Urban,2676.64,4984.83,No,4.2,0
Non-binary,40,Master,Part-time,Suburban,3047.6,8327.63,Yes,5.1,1
Male,26,High School,Unemployed,Rural,,3969.63,No,,0
Non-binary,29,Master,Freelance,Rural,2910.3,4312.68,Yes,7.7,0
Non-binary,18,Master,Freelance,Rural,4183.41,6098.52,Yes,5.9,0
Male,18,,Part-time,Suburban,2339.29,3142.56,Yes,1.5,0
Male,64,Master,Part-time,Urban,4023.14,5664.21,No,7.1,0
Non-binary,51,Master,Freelance,Suburban,3091.59,6808.89,No,5.2,1
Female,49,Bachelor,Unemployed,Suburban,,4539.36,No,1.3,0
Male,42,PhD,Part-time,Urban,1892.68,6539.23,No,9.7,0
Female,57,PhD,Full-time,Urban,3919.3,5437.17,No,9.5,1
Female,62,PhD,Unemployed,Urban,3552.52,3903.98,Yes,5.6,1
Female,18,PhD,Part-time,Rural,3101.76,4703.29,Yes,1.8,1
Male,33,PhD,Part-time,Urban,2725.97,4430.36,Yes,7.8,0
Female,56,PhD,Full-time,Suburban,3210.57,4868.54,Yes,5.4,0
Male,22,High School,Full-time,Urban,3880.3,5229.08,No,3.7,0
Female,39,Master,Freelance,Suburban,4475.85,5882.3,No,5.4,1
Non-binary,46,PhD,Unemployed,Rural,4523.68,5763,Yes,5.7,0
Non-binary,20,Master,Unemployed,Suburban,3371.96,1352.43,No,6.1,1
Male,29,Master,Freelance,Suburban,2828.07,4854.04,No,5,0
Non-binary,43,High School,Unemployed,Urban,3146.25,2735.87,Yes,6.5,1
Non-binary,33,,Unemployed,Urban,3522.12,4586.41,Yes,9.3,0
Female,54,Bachelor,Unemployed,Suburban,3518.07,4814.32,No,4.3,0
